233, 41, 46, 180
204, 43, 59, 194
199, 57, 39, 205
197, 45, 53, 205
194, 41, 66, 199
195, 58, 63, 184
197, 52, 51, 200
189, 60, 58, 193
211, 56, 54, 179
190, 55, 45, 210
198, 52, 54, 196
220, 51, 61, 168
191, 64, 55, 190
190, 57, 68, 185
210, 49, 69, 172
203, 51, 57, 189
188, 45, 84, 183
195, 52, 98, 155
209, 47, 86, 158
167, 76, 76, 181
183, 57, 73, 187
177, 61, 93, 169
183, 66, 80, 171
183, 62, 91, 164
181, 62, 109, 148
169, 72, 92, 167
176, 70, 99, 155
192, 53, 101, 154
186, 54, 106, 154
202, 63, 100, 135
201, 49, 101, 149
201, 47, 102, 150
208, 43, 97, 152
198, 35, 126, 141
215, 46, 113, 126
191, 69, 60, 180
193, 47, 83, 177
192, 73, 78, 157
175, 62, 75, 188
195, 67, 63, 175
203, 50, 61, 186
203, 56, 66, 175
200, 35, 74, 191
201, 55, 68, 176
196, 47, 80, 177
195, 53, 77, 175
209, 58, 81, 152
200, 44, 75, 181
203, 47, 63, 187
214, 43, 71, 172
196, 57, 72, 175
202, 52, 72, 174
214, 65, 59, 162
212, 45, 81, 162
190, 51, 91, 168
197, 60, 78, 165
211, 50, 72, 167
184, 57, 73, 186
193, 51, 72, 184
204, 39, 82, 175
186, 55, 88, 171
192, 54, 98, 156
210, 50, 77, 163
200, 57, 83, 160
195, 61, 82, 162
208, 46, 78, 168
205, 48, 87, 160
192, 56, 77, 175
192, 60, 85, 163
213, 53, 84, 150
192, 63, 88, 157
185, 57, 96, 162
196, 57, 77, 170
192, 55, 84, 169
176, 58, 82, 184
182, 60, 91, 167
162, 78, 78, 182
186, 83, 53, 178
173, 75, 79, 173
179, 85, 73, 163
166, 110, 81, 143
178, 70, 80, 172
178, 82, 68, 172
178, 76, 70, 176
183, 85, 67, 165
176, 88, 67, 169
157, 80, 100, 163
187, 81, 81, 151
156, 100, 60, 184
177, 74, 82, 167
188, 66, 71, 175
155, 74, 84, 187
165, 81, 71, 183
180, 71, 78, 171
187, 90, 76, 147
166, 88, 72, 174
162, 85, 64, 189
162, 78, 74, 186
151, 82, 69, 198
155, 83, 72, 190
177, 69, 79, 175
165, 75, 78, 182
159, 85, 78, 178
169, 79, 80, 172
161, 78, 78, 183
147, 86, 84, 183
158, 87, 69, 186
150, 90, 83, 177
161, 72, 81, 186
173, 84, 83, 160
165, 84, 76, 175
180, 70, 83, 167
172, 91, 63, 174
156, 76, 80, 188
167, 63, 95, 175
170, 82, 77, 171
175, 79, 88, 158
170, 82, 85, 163
156, 83, 87, 174
177, 81, 83, 159
175, 76, 82, 167
177, 65, 72, 186
165, 98, 90, 147
164, 78, 99, 159
180, 58, 77, 185
183, 87, 75, 155
168, 80, 84, 168
175, 80, 77, 168
163, 67, 87, 183
174, 60, 73, 193
177, 62, 80, 181
160, 77, 56, 207
172, 72, 66, 190
154, 79, 77, 190
178, 88, 62, 172
177, 70, 64, 189
162, 80, 60, 198
187, 68, 61, 184
173, 81, 69, 177
166, 80, 66, 188
170, 73, 64, 193
180, 74, 55, 191
190, 74, 56, 180
175, 75, 63, 187
167, 82, 66, 185
175, 80, 61, 184
160, 75, 62, 203
171, 72, 55, 202
158, 63, 65, 214
175, 71, 65, 189
176, 79, 67, 178
185, 68, 58, 189
174, 98, 63, 165
178, 83, 67, 172
184, 75, 63, 178
195, 68, 56, 181
178, 73, 68, 181
167, 73, 65, 195
183, 83, 71, 163
180, 75, 54, 191
176, 79, 63, 182
176, 80, 69, 175
167, 81, 61, 191
168, 71, 72, 189
171, 63, 83, 183
183, 66, 99, 152
161, 60, 106, 173
180, 70, 93, 157
161, 89, 101, 149
170, 71, 92, 167
157, 72, 105, 166
165, 93, 108, 134
168, 72, 122, 138
181, 90, 120, 109
183, 78, 123, 116
187, 74, 64, 175
194, 59, 76, 171
200, 58, 77, 165
194, 55, 54, 197
185, 63, 64, 188
201, 61, 61, 177
210, 41, 48, 201
188, 60, 42, 210
201, 56, 54, 189
192, 52, 44, 212
196, 53, 64, 187
192, 49, 67, 192
175, 49, 44, 232
226, 38, 46, 190
188, 46, 52, 214
206, 49, 42, 203
212, 42, 46, 200
208, 53, 38, 201
206, 47, 40, 207
217, 43, 33, 207
207, 49, 40, 204
219, 41, 38, 202
212, 46, 40, 202
208, 35, 42, 215
