185, 8, 305, 2
179, 9, 301, 11
153, 20, 253, 74
175, 29, 185, 111
149, 31, 177, 143
135, 51, 159, 155
131, 50, 131, 188
123, 72, 110, 195
123, 85, 62, 230
131, 76, 37, 256
107, 64, 48, 281
111, 77, 17, 295
110, 88, 7, 295
123, 78, 22, 277
107, 85, 9, 299
103, 77, 12, 308
95, 90, 12, 303
88, 96, 10, 306
92, 90, 7, 311
99, 94, 15, 292
85, 91, 4, 320
85, 87, 7, 321
94, 92, 2, 312
110, 102, 4, 284
99, 85, 7, 309
111, 85, 2, 302
102, 87, 1, 310
104, 82, 1, 313
114, 83, 3, 300
109, 76, 3, 312
107, 90, 1, 302
116, 63, 4, 317
114, 76, 6, 304
123, 90, 7, 280
104, 89, 7, 300
122, 72, 7, 299
110, 72, 8, 310
127, 62, 12, 299
121, 50, 5, 324
136, 57, 11, 296
141, 39, 10, 310
136, 45, 7, 312
138, 53, 6, 303
156, 36, 6, 302
149, 50, 8, 293
155, 21, 10, 314
177, 18, 10, 295
151, 33, 13, 303
153, 30, 10, 307
159, 22, 10, 309
161, 39, 13, 287
153, 22, 20, 305
162, 29, 10, 299
147, 22, 14, 317
164, 20, 12, 304
181, 21, 16, 282
166, 26, 10, 298
148, 23, 14, 315
170, 23, 8, 299
161, 25, 10, 304
165, 18, 6, 311
182, 20, 7, 291
173, 13, 14, 300
158, 28, 14, 300
156, 22, 20, 302
208, 32, 64, 196
229, 79, 156, 36
220, 101, 153, 26
227, 94, 137, 42
212, 114, 144, 30
227, 92, 154, 27
234, 101, 136, 29
233, 90, 152, 25
223, 81, 163, 33
249, 67, 148, 36
244, 64, 164, 28
248, 69, 131, 52
256, 76, 123, 45
234, 77, 140, 49
255, 75, 119, 51
259, 60, 108, 73
251, 68, 115, 66
264, 75, 88, 73
251, 65, 114, 70
267, 66, 87, 80
230, 61, 116, 93
261, 62, 79, 98
248, 70, 72, 110
251, 69, 69, 111
267, 67, 57, 109
250, 73, 61, 116
263, 62, 61, 114
241, 58, 61, 140
255, 66, 47, 132
259, 65, 49, 127
233, 59, 52, 156
248, 73, 41, 138
277, 56, 38, 129
254, 61, 30, 155
278, 55, 47, 120
268, 63, 29, 140
267, 52, 45, 136
266, 47, 43, 144
268, 44, 40, 148
263, 52, 43, 142
264, 56, 49, 131
265, 60, 47, 128
272, 46, 45, 137
249, 51, 41, 159
261, 68, 25, 146
259, 54, 27, 160
244, 57, 26, 173
266, 54, 23, 157
263, 57, 26, 154
255, 45, 35, 165
263, 50, 32, 155
263, 41, 30, 166
262, 34, 29, 175
275, 49, 29, 147
281, 35, 30, 154
282, 33, 39, 146
286, 37, 27, 150
284, 31, 34, 151
286, 35, 38, 141
284, 28, 39, 149
282, 20, 29, 169
294, 24, 30, 152
298, 23, 27, 152
297, 28, 42, 133
291, 23, 31, 155
316, 17, 19, 148
295, 25, 38, 142
215, 168, 52, 65
173, 242, 82, 3
214, 206, 76, 4
271, 164, 64, 1
343, 85, 71, 1
373, 53, 73, 1
380, 41, 79, 0
401, 31, 68, 0
397, 26, 77, 0
373, 44, 83, 0
402, 21, 77, 0
387, 27, 86, 0
392, 27, 81, 0
399, 27, 73, 1
405, 32, 63, 0
398, 28, 73, 1
400, 31, 69, 0
389, 24, 87, 0
379, 26, 92, 3
417, 10, 73, 0
420, 5, 75, 0
419, 2, 78, 1
422, 4, 72, 2
415, 3, 76, 6
430, 2, 68, 0
409, 4, 86, 1
414, 4, 80, 2
411, 1, 86, 2
418, 3, 77, 2
424, 2, 66, 8
438, 0, 54, 8
420, 3, 61, 16
426, 2, 63, 9
419, 4, 60, 17
425, 2, 57, 16
419, 2, 64, 15
416, 1, 66, 17
407, 3, 73, 17
424, 2, 42, 32
428, 1, 38, 33
407, 3, 32, 58
424, 1, 33, 42
410, 2, 26, 62
414, 2, 20, 64
433, 0, 17, 50
407, 4, 20, 69
421, 3, 12, 64
412, 2, 20, 66
413, 0, 12, 75
420, 3, 11, 66
423, 1, 13, 63
423, 3, 5, 69
425, 0, 9, 66
419, 2, 9, 70
441, 1, 2, 56
431, 1, 5, 63
419, 1, 6, 74
424, 1, 11, 64
415, 1, 12, 72
428, 2, 7, 63
422, 3, 5, 70
430, 2, 3, 65
424, 2, 2, 72
443, 1, 6, 50
414, 4, 6, 76
423, 1, 8, 68
423, 0, 4, 73
