139, 105, 61, 195
148, 77, 85, 190
148, 99, 80, 173
131, 85, 85, 199
168, 91, 70, 171
157, 70, 80, 193
166, 70, 83, 181
159, 72, 75, 194
135, 92, 77, 196
172, 80, 67, 181
154, 90, 75, 181
142, 73, 81, 204
162, 77, 87, 174
151, 75, 83, 191
145, 78, 75, 202
163, 87, 81, 169
155, 92, 70, 183
149, 80, 83, 188
162, 78, 96, 164
179, 65, 78, 178
159, 85, 71, 185
185, 84, 76, 155
154, 77, 91, 178
159, 73, 85, 183
157, 72, 100, 171
177, 74, 87, 162
165, 84, 92, 159
154, 62, 85, 199
171, 72, 81, 176
160, 81, 73, 186
175, 73, 66, 186
158, 98, 67, 177
137, 145, 102, 116
157, 164, 93, 86
128, 163, 104, 105
183, 154, 79, 84
162, 143, 104, 91
172, 146, 88, 94
151, 168, 94, 87
167, 138, 97, 98
197, 124, 91, 88
191, 131, 90, 88
195, 128, 80, 97
182, 132, 90, 96
183, 131, 90, 96
218, 118, 66, 98
205, 113, 73, 109
196, 107, 88, 109
222, 102, 78, 98
221, 94, 72, 113
213, 89, 72, 126
230, 100, 56, 114
247, 60, 82, 111
239, 82, 69, 110
230, 73, 78, 119
236, 74, 82, 108
242, 73, 67, 118
255, 71, 65, 109
242, 49, 74, 135
243, 71, 68, 118
252, 75, 74, 99
245, 66, 76, 113
237, 74, 80, 109
256, 55, 73, 116
273, 34, 67, 126
196, 44, 122, 138
96, 36, 209, 159
80, 42, 186, 192
64, 53, 123, 260
75, 46, 82, 297
70, 56, 68, 306
63, 69, 47, 321
60, 56, 45, 339
59, 70, 48, 323
53, 70, 25, 352
50, 74, 40, 336
56, 64, 39, 341
57, 78, 32, 333
61, 74, 38, 327
57, 72, 30, 341
69, 90, 19, 322
55, 79, 42, 324
73, 67, 34, 326
46, 77, 33, 344
52, 76, 32, 340
58, 71, 30, 341
58, 71, 24, 347
49, 83, 33, 335
69, 54, 29, 348
59, 79, 32, 330
74, 67, 24, 335
53, 55, 33, 359
53, 72, 28, 347
53, 78, 29, 340
69, 67, 36, 328
58, 68, 26, 348
64, 65, 37, 334
47, 71, 35, 347
59, 109, 41, 291
29, 237, 45, 189
21, 266, 39, 174
16, 278, 19, 187
46, 265, 25, 164
83, 230, 20, 167
115, 180, 26, 179
153, 173, 17, 157
181, 125, 33, 161
188, 111, 43, 158
225, 93, 33, 149
218, 80, 51, 151
217, 64, 52, 167
230, 70, 45, 155
213, 71, 69, 147
227, 78, 50, 145
239, 65, 51, 145
231, 73, 60, 136
215, 76, 59, 150
221, 59, 74, 146
236, 69, 63, 132
215, 74, 73, 138
244, 72, 51, 133
239, 60, 69, 132
264, 76, 55, 105
234, 63, 71, 132
245, 62, 67, 126
241, 71, 58, 130
254, 54, 66, 126
226, 71, 76, 127
276, 41, 87, 96
269, 38, 83, 110
261, 42, 88, 109
254, 57, 84, 105
173, 34, 178, 115
110, 59, 205, 126
99, 57, 209, 135
98, 57, 159, 186
96, 61, 135, 208
95, 63, 123, 219
98, 72, 120, 210
98, 63, 88, 251
99, 76, 88, 237
87, 88, 87, 238
101, 53, 63, 283
100, 70, 73, 257
94, 66, 79, 261
93, 52, 48, 307
102, 72, 66, 260
89, 74, 57, 280
92, 71, 57, 280
100, 67, 54, 279
85, 71, 56, 288
89, 71, 55, 285
88, 68, 57, 287
85, 66, 55, 294
83, 84, 49, 284
88, 68, 42, 302
80, 85, 57, 278
80, 67, 50, 303
84, 68, 44, 304
91, 76, 36, 297
80, 76, 51, 293
84, 85, 28, 303
75, 76, 22, 327
75, 86, 47, 292
89, 74, 35, 302
74, 116, 54, 256
59, 161, 55, 225
62, 140, 71, 227
55, 156, 53, 236
67, 150, 68, 215
63, 156, 45, 236
62, 144, 40, 254
61, 159, 25, 255
63, 133, 47, 257
66, 157, 28, 249
69, 155, 47, 229
95, 142, 19, 244
92, 125, 35, 248
92, 132, 38, 238
92, 137, 38, 233
86, 133, 43, 238
104, 117, 33, 246
101, 127, 38, 234
96, 122, 40, 242
97, 128, 38, 237
95, 111, 39, 255
102, 119, 49, 230
103, 102, 51, 244
103, 114, 42, 241
107, 117, 49, 227
116, 99, 42, 243
107, 112, 45, 236
118, 108, 54, 220
133, 94, 58, 215
132, 86, 62, 220
133, 85, 53, 229
115, 97, 60, 228
135, 85, 67, 213
135, 82, 66, 217
